Region/Country/Area,Country,Year,Series,Value,Footnotes,Source
14,Eastern Africa,2010,GDP in constant 2015 prices (millions of US dollars),244279.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2015,GDP in constant 2015 prices (millions of US dollars),329095.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2019,GDP in constant 2015 prices (millions of US dollars),406004.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2020,GDP in constant 2015 prices (millions of US dollars),407901.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2021,GDP in constant 2015 prices (millions of US dollars),430749.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,1995,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2005,GDP real rates of growth (percent),6.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2010,GDP real rates of growth (percent),9.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2015,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2019,GDP real rates of growth (percent),5.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2020,GDP real rates of growth (percent),0.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
14,Eastern Africa,2021,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,1995,GDP in current prices (millions of US dollars),37554.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2005,GDP in current prices (millions of US dollars),101403.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2010,GDP in current prices (millions of US dollars),191153.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2015,GDP in current prices (millions of US dollars),242140.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2019,GDP in current prices (millions of US dollars),229280.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2020,GDP in current prices (millions of US dollars),194466.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2021,GDP in current prices (millions of US dollars),232025.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,1995,GDP per capita (US dollars),441.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2005,GDP per capita (US dollars),892.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2010,GDP per capita (US dollars),1431.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2015,GDP per capita (US dollars),1538.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2019,GDP per capita (US dollars),1281.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2020,GDP per capita (US dollars),1054.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2021,GDP per capita (US dollars),1219.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,1995,GDP in constant 2015 prices (millions of US dollars),85602.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
17,Middle Africa,2005,GDP in constant 2015 prices (millions of US dollars),140464.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
